item_name,stock_base_units,expiry_date,monthly_usage_(to_be_filled),notes
sterile surgical gloves 7.0,250.0,2030-05-01,,
sterile surgical gloves 8.0,0.0,2030-07-01,,
catheters size 16,0.0,2100-01-01,,
catheters size 18,0.0,2100-01-01,,
urine bags,353.0,2030-07-01,,
"crepe bandages 6""",0.0,2100-01-01,,
"pop   6""",0.0,2100-01-01,,
nylon sutures 2 rb (40mm,28.0,2030-03-01,,
nylon sutures 3/0 rb,0.0,2100-01-01,,
nylon sutures 1 rc 40 mm,86.0,2030-03-01,,
vicryl sutures 2/0 rb 40mm,10.0,2030-05-01,,
vicryl sutures 2/0 rb 36mm,0.0,2030-09-01,,
vicryl sutures 2/0 rc 40mm,0.0,2030-07-01,,
vicryl sutures 2/0 rc 36mm,0.0,2030-09-01,,
vicryl sutures 1 rc 40mm,124.0,2026-06-01,,
vicryl sutures  4/0 rc 40mm,8.0,2026-06-01,,
silk sutures 2/0 rc (35 mm),4.0,2030-05-01,,
silk sutures 2/0 rb 40mm,5.0,2030-11-01,,
silk sutures 2 rb 40mm,4.0,2030-06-01,,
synthecon 4/0 rb 26 mm,24.0,2028-07-01,,
synthecon 5/0 rc 19 mm,0.0,2028-11-01,,
synthecon 5/0 rb 17 mm,0.0,2029-07-01,,
synthecon 6/0 rc 19 mm,0.0,2028-10-01,,
synthecon 6/0 rc 13 mm,0.0,2029-08-01,,
polyproplene 5/0 rb 13mm,0.0,2027-06-01,,
surgicril 6/0 rb 13mm,0.0,2029-11-01,,
advacryl 6/0 13mm,0.0,2029-12-01,,
dermatech 4/0 rb 17mm,0.0,2029-01-01,,
dermacryl 5/0 rb 17mm,0.0,2030-08-01,,
safety box,0.0,2100-01-01,,
face masks,21600.0,2029-08-01,,
hand sanitizers,0.0,2100-01-01,,
paraffin gauze  10 x 10 cm,0.0,2030-09-01,,
gauze rolls 1.5kgs,0.0,2030-09-01,,
bactigrass,0.0,2100-01-01,,
nasal oxygen cannula- neonate,0.0,2100-01-01,,
nasal oxygen cannula - paeds,78.0,2100-01-01,,
nasal oxygen cannula- infant,0.0,2100-01-01,,
nasal oxygen cannula- adult,0.0,2100-01-01,,
non-rebreather mask paeds,0.0,2100-01-01,,
non-rebreather mask adult,0.0,2100-01-01,,
identification band adult,87.0,2028-08-01,,
identification band paeds,600.0,2026-08-01,,
needles g23,0.0,2030-09-01,,
folleys catheter 2 way - sz 12,0.0,2027-01-01,,
folleys catheter 2 way - sz 16,46.0,2030-06-01,,
folleys catheter 2 way - sz 18,42.0,2030-02-01,,
folleys catheter 2 way - sz 10,0.0,2027-01-01,,
folleys catheter 3 way - sz 22,3.0,2028-08-01,,
biopsy,10.0,2030-04-01,,
tracheostomy 4.5 cuffed,0.0,2028-05-01,,
tracheostomy 5.0 cuffed,10.0,2028-12-01,,
tracheostomy 7.0 cuffed,5.0,2027-05-01,,
tracheostomy 7.5 cuffed,5.0,2027-06-01,,
p.o.p gypsona 6'',0.0,2100-01-01,,
chest drainage catheter with trocar sz28,60.0,2030-12-01,,
chest drainage catheter with trocar sz14,7.0,2028-05-01,,
endotracheal tube 7.0 cuffed,24.0,2030-12-01,,
