item_name,closing_stock,monthly_usage_original,stock_base_units,monthly_usage_base_units,months_of_supply,expiry_date,days_to_expiry,expiry_status,stock_analysis,variance,opening_stock,data_quality_v2
latex gloves,0.0,650.0,0.0,65000.0,0.0,2030-10-01,1636,Long Expiry (>6 Months),Fast Mover,-1468.0,1468.0,STOCKOUT (ORDER NOW)
sterile surgical gloves 6.5,700.0,400.0,700.0,20000.0,0.0,2030-08-01,1575,Long Expiry (>6 Months),Normal Movement,50.0,650.0,CRITICAL LOW (<1 month)
sterile surgical gloves 7.0,250.0,,250.0,,,2030-05-01,1483,Long Expiry (>6 Months),Fast Mover,-4500.0,4750.0,NEEDS_CLINICAL_REVIEW
sterile surgical gloves 7.5,487.0,244.0,487.0,12200.0,0.0,2030-08-01,1575,Long Expiry (>6 Months),Fast Mover,-4763.0,5250.0,CRITICAL LOW (<1 month)
sterile surgical gloves 8.0,0.0,,0.0,,,2030-07-01,1544,Long Expiry (>6 Months),Fast Mover,-450.0,450.0,NEEDS_CLINICAL_REVIEW
gynaecological gloves,1034.0,2.0,1034.0,100.0,10.3,2026-09-01,145,Medium Expiry (3-6 Months),Fast Mover,-1297.0,2331.0,ADEQUATE (6-12 months)
red bin liners 30 x 36,701.0,5200.0,701.0,5200.0,0.1,2100-01-01,26930,Long Expiry (>6 Months),Normal Movement,-3.0,704.0,CRITICAL LOW (<1 month)
yellow bin liners 30 x 36,0.0,5200.0,0.0,5200.0,0.0,2100-01-01,26930,Long Expiry (>6 Months),Fast Mover,-1120.0,1120.0,STOCKOUT (ORDER NOW)
black bin liners 30 x 36,0.0,1580.0,0.0,1580.0,0.0,2100-01-01,26930,Long Expiry (>6 Months),Fast Mover,-668.0,668.0,STOCKOUT (ORDER NOW)
syringes  20cc,0.0,225.0,0.0,11250.0,0.0,2030-09-01,1606,Long Expiry (>6 Months),Normal Movement,-10.0,10.0,STOCKOUT (ORDER NOW)
syringes 10 cc,0.0,150.0,0.0,15000.0,0.0,2100-01-01,26930,Long Expiry (>6 Months),Stockout (Critical),0.0,0.0,STOCKOUT (ORDER NOW)
syringes 5 cc,26.0,210.0,2600.0,21000.0,0.1,2030-12-01,1697,Long Expiry (>6 Months),Normal Movement,16.0,10.0,CRITICAL LOW (<1 month)
syringes 2cc,0.0,200.0,0.0,20000.0,0.0,2030-12-01,1697,Long Expiry (>6 Months),Normal Movement,-9.0,9.0,STOCKOUT (ORDER NOW)
cotton wool 400gms,7.0,170.0,7.0,170.0,0.0,2030-05-01,1483,Long Expiry (>6 Months),Fast Mover,-463.0,470.0,CRITICAL LOW (<1 month)
jik 5ltrs 4-6%,0.0,175.0,0.0,175.0,0.0,2100-01-01,26930,Long Expiry (>6 Months),Stockout (Critical),0.0,0.0,STOCKOUT (ORDER NOW)
cannula g18,1500.0,22.0,1500.0,2200.0,0.7,2030-06-01,1514,Long Expiry (>6 Months),Fast Mover,-1308.0,2808.0,CRITICAL LOW (<1 month)
cannula g24,0.0,15.0,0.0,1500.0,0.0,2030-08-01,1575,Long Expiry (>6 Months),Fast Mover,-2470.0,2470.0,STOCKOUT (ORDER NOW)
cannula 16,0.0,2.0,0.0,200.0,0.0,2030-04-01,1453,Long Expiry (>6 Months),Fast Mover,-1010.0,1010.0,STOCKOUT (ORDER NOW)
cannula g 26,800.0,7.0,800.0,700.0,1.1,2030-04-01,1453,Long Expiry (>6 Months),Normal Movement,393.0,407.0,LOW STOCK (1-3 months)
cannula g22,0.0,22.0,0.0,2200.0,0.0,2030-09-01,1606,Long Expiry (>6 Months),Fast Mover,-411.0,411.0,STOCKOUT (ORDER NOW)
cannula g20,1173.0,30.0,117300.0,3000.0,39.1,2030-06-01,1514,Long Expiry (>6 Months),Fast Mover,-1127.0,2300.0,OVERSTOCK (>12 months)
catheters size 16,0.0,0.0,0.0,0.0,,2100-01-01,26930,Long Expiry (>6 Months),Stockout (Critical),0.0,0.0,NEEDS_CLINICAL_REVIEW
catheters size 18,0.0,0.0,0.0,0.0,,2100-01-01,26930,Long Expiry (>6 Months),Stockout (Critical),0.0,0.0,NEEDS_CLINICAL_REVIEW
urine bags,353.0,0.0,353.0,0.0,,2030-07-01,1544,Long Expiry (>6 Months),Fast Mover,-557.0,910.0,NEEDS_CLINICAL_REVIEW
"crepe bandages 6""",0.0,0.0,0.0,0.0,,2100-01-01,26930,Long Expiry (>6 Months),Stockout (Critical),0.0,0.0,NEEDS_CLINICAL_REVIEW
"pop   6""",0.0,0.0,0.0,0.0,,2100-01-01,26930,Long Expiry (>6 Months),Stockout (Critical),0.0,0.0,NEEDS_CLINICAL_REVIEW
surgicell 10 x 20cm,0.0,4.0,0.0,4.0,0.0,2100-01-01,26930,Long Expiry (>6 Months),Stockout (Critical),0.0,0.0,STOCKOUT (ORDER NOW)
nylon sutures 2 rb (40mm,28.0,,28.0,,,2030-03-01,1422,Long Expiry (>6 Months),Normal Movement,7.0,21.0,NEEDS_CLINICAL_REVIEW
nylon sutures 2/0 rc,90.0,20.0,90.0,20.0,4.5,2030-07-01,1544,Long Expiry (>6 Months),Normal Movement,69.0,21.0,HEALTHY (3-6 months)
nylon sutures 3/0 rb,0.0,,0.0,,,2100-01-01,26930,Long Expiry (>6 Months),Stockout (Critical),0.0,0.0,NEEDS_CLINICAL_REVIEW
nylon sutures 3/0 rc,0.0,12.0,0.0,12.0,0.0,2030-02-01,1394,Long Expiry (>6 Months),Fast Mover,-107.0,107.0,STOCKOUT (ORDER NOW)
nylon sutures 1 rc 40 mm,86.0,,86.0,,,2030-03-01,1422,Long Expiry (>6 Months),Normal Movement,70.0,16.0,NEEDS_CLINICAL_REVIEW
vicryl sutures 2/0 rb 40mm,10.0,,10.0,,,2030-05-01,1483,Long Expiry (>6 Months),Normal Movement,-5.0,15.0,NEEDS_CLINICAL_REVIEW
vicryl sutures 2/0 rb 36mm,0.0,,0.0,,,2030-09-01,1606,Long Expiry (>6 Months),Fast Mover,-12.0,12.0,NEEDS_CLINICAL_REVIEW
vicryl sutures 2/0 rc 40mm,0.0,,0.0,,,2030-07-01,1544,Long Expiry (>6 Months),Normal Movement,-9.0,9.0,NEEDS_CLINICAL_REVIEW
vicryl sutures 2/0 rc 36mm,0.0,,0.0,,,2030-09-01,1606,Long Expiry (>6 Months),Normal Movement,-3.0,3.0,NEEDS_CLINICAL_REVIEW
vicryl sutures 3/0 rb,0.0,12.0,0.0,12.0,0.0,2100-01-01,26930,Long Expiry (>6 Months),Stockout (Critical),0.0,0.0,STOCKOUT (ORDER NOW)
vicryl sutures 3/0 rc,0.0,12.0,0.0,12.0,0.0,2100-01-01,26930,Long Expiry (>6 Months),Stockout (Critical),0.0,0.0,STOCKOUT (ORDER NOW)
vicryl sutures 2  rb,0.0,40.0,0.0,40.0,0.0,2100-01-01,26930,Long Expiry (>6 Months),Stockout (Critical),0.0,0.0,STOCKOUT (ORDER NOW)
