item_name,expiry_date,opening_stock,closing_stock,variance,days_to_expiry,expiry_status,stock_analysis,consumption per month,consumption in 3 months,to purchase,unit,calculated_consumption,mos,clinical_status,is_vip,traffic_light,mos_numeric,final_status
latex gloves,2030-10-01,1468.0,0.0,-1468.0,1648,Long Expiry (>6 Months),Fast Mover,650.0,7800.0,,pkts of 100,1468.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
sterile surgical gloves 6.5,2030-08-01,650.0,700.0,50.0,1587,Long Expiry (>6 Months),Normal Movement,400.0,1200.0,,pairs,0.0,1.7,GREEN: Healthy,True,GREEN: Healthy VIP,1.8,GREEN: Healthy
sterile surgical gloves 7.0,2030-05-01,4750.0,250.0,-4500.0,1495,Long Expiry (>6 Months),Fast Mover,4500.0,0.0,,pairs,4500.0,0.1,ORANGE: Low Stock,True,ORANGE: Low Stock,0.1,ORANGE: Low Stock
sterile surgical gloves 7.5,2030-08-01,5250.0,487.0,-4763.0,1587,Long Expiry (>6 Months),Fast Mover,244.0,732.0,,pairs,4763.0,2.0,GREEN: Healthy,True,GREEN: Healthy VIP,2.0,GREEN: Healthy
sterile surgical gloves 8.0,2030-07-01,450.0,0.0,-450.0,1556,Long Expiry (>6 Months),Fast Mover,450.0,0.0,,pairs,450.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
gynaecological gloves,2026-09-01,2331.0,1034.0,-1297.0,157,Medium Expiry (3-6 Months),Fast Mover,2.0,6.0,,pairs,1297.0,517.0,PURPLE: Overstocked (Even for Vital),True,PURPLE: VIP Overstock,517.0,GREEN: VIP Safety Stock (Slow Mover)
red bin liners 30 x 36,2100-01-01,704.0,701.0,-3.0,26942,Long Expiry (>6 Months),Normal Movement,5200.0,15600.0,,pcs,3.0,0.1,ORANGE: Low Stock,False,ORANGE: Low Stock,0.1,ORANGE: Low Stock
yellow bin liners 30 x 36,2100-01-01,1120.0,0.0,-1120.0,26942,Long Expiry (>6 Months),Fast Mover,5200.0,15600.0,,pcs,1120.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
black bin liners 30 x 36,2100-01-01,668.0,0.0,-668.0,26942,Long Expiry (>6 Months),Fast Mover,1580.0,4740.0,,pcs,668.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
syringes  20cc,2030-09-01,10.0,0.0,-10.0,1618,Long Expiry (>6 Months),Normal Movement,225.0,675.0,,pkts of 50,10.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
syringes 10 cc,2100-01-01,0.0,0.0,0.0,26942,Long Expiry (>6 Months),Stockout (Critical),150.0,450.0,,pkts of 100,0.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
syringes 5 cc,2030-12-01,10.0,26.0,16.0,1709,Long Expiry (>6 Months),Normal Movement,210.0,630.0,,pkts of 100,0.0,0.1,ORANGE: Low Stock,True,ORANGE: Low Stock,0.1,ORANGE: Low Stock
syringes 2cc,2030-12-01,9.0,0.0,-9.0,1709,Long Expiry (>6 Months),Normal Movement,200.0,600.0,,pkts of 100,9.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
cotton wool 400gms,2030-05-01,470.0,7.0,-463.0,1495,Long Expiry (>6 Months),Fast Mover,170.0,510.0,,rolls,463.0,0.0,ORANGE: Low Stock,True,ORANGE: Low Stock,0.0,ORANGE: Low Stock
jik 5ltrs 4-6%,2100-01-01,0.0,0.0,0.0,26942,Long Expiry (>6 Months),Stockout (Critical),175.0,525.0,,Pcs,0.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
cannula g18,2030-06-01,2808.0,1500.0,-1308.0,1526,Long Expiry (>6 Months),Fast Mover,22.0,66.0,,pcs,1308.0,68.2,PURPLE: Overstocked (Even for Vital),True,PURPLE: VIP Overstock,68.2,GREEN: VIP Safety Stock (Slow Mover)
cannula g24,2030-08-01,2470.0,0.0,-2470.0,1587,Long Expiry (>6 Months),Fast Mover,15.0,45.0,,pcs,2470.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
cannula 16,2030-04-01,1010.0,0.0,-1010.0,1465,Long Expiry (>6 Months),Fast Mover,2.0,6.0,,pcs,1010.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
cannula g 26,2030-04-01,407.0,800.0,393.0,1465,Long Expiry (>6 Months),Normal Movement,7.0,21.0,,pcs,0.0,114.3,PURPLE: Overstocked (Even for Vital),True,PURPLE: VIP Overstock,114.3,GREEN: VIP Safety Stock (Slow Mover)
cannula g22,2030-09-01,411.0,0.0,-411.0,1618,Long Expiry (>6 Months),Fast Mover,22.0,66.0,,pcs,411.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
cannula g20,2030-06-01,2300.0,1173.0,-1127.0,1526,Long Expiry (>6 Months),Fast Mover,30.0,90.0,,pkts of 100,1127.0,39.1,PURPLE: Overstocked (Even for Vital),True,PURPLE: VIP Overstock,39.1,GREEN: VIP Safety Stock (Slow Mover)
catheters size 16,2100-01-01,0.0,0.0,0.0,26942,Long Expiry (>6 Months),Stockout (Critical),0.0,0.0,,pkt of 10's,0.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,999.0,RED: Stockout
catheters size 18,2100-01-01,0.0,0.0,0.0,26942,Long Expiry (>6 Months),Stockout (Critical),0.0,0.0,,pkt of 10's,0.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,999.0,RED: Stockout
urine bags,2030-07-01,910.0,353.0,-557.0,1556,Long Expiry (>6 Months),Fast Mover,0.0,0.0,,pcs,557.0,353000000.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,999.0,BLACK: True Deadstock (Zero Movement)
"crepe bandages 6""",2100-01-01,0.0,0.0,0.0,26942,Long Expiry (>6 Months),Stockout (Critical),0.0,0.0,,dozens,0.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,999.0,RED: Stockout
"pop   6""",2100-01-01,0.0,0.0,0.0,26942,Long Expiry (>6 Months),Stockout (Critical),0.0,0.0,,pairs,0.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,999.0,RED: Stockout
surgicell 10 x 20cm,2100-01-01,0.0,0.0,0.0,26942,Long Expiry (>6 Months),Stockout (Critical),4.0,12.0,,dozens,0.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
nylon sutures 2 rb (40mm,2030-03-01,21.0,28.0,7.0,1434,Long Expiry (>6 Months),Normal Movement,0.0,0.0,,dozens,0.0,28000000.0,PURPLE: Dead Stock (Review Needed),True,PURPLE: VIP Overstock,999.0,BLACK: True Deadstock (Zero Movement)
nylon sutures 2/0 rc,2030-07-01,21.0,90.0,69.0,1556,Long Expiry (>6 Months),Normal Movement,20.0,60.0,,dozens,0.0,4.5,GREEN: Healthy,True,GREEN: Healthy VIP,4.5,GREEN: Healthy
nylon sutures 3/0 rb,2100-01-01,0.0,0.0,0.0,26942,Long Expiry (>6 Months),Stockout (Critical),0.0,0.0,,dozens,0.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,999.0,RED: Stockout
nylon sutures 3/0 rc,2030-02-01,107.0,0.0,-107.0,1406,Long Expiry (>6 Months),Fast Mover,12.0,36.0,,dozens,107.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
nylon sutures 1 rc 40 mm,2030-03-01,16.0,86.0,70.0,1434,Long Expiry (>6 Months),Normal Movement,0.0,0.0,,dozens,0.0,86000000.0,PURPLE: Dead Stock (Review Needed),True,PURPLE: VIP Overstock,999.0,BLACK: True Deadstock (Zero Movement)
vicryl sutures 2/0 rb 40mm,2030-05-01,15.0,10.0,-5.0,1495,Long Expiry (>6 Months),Normal Movement,5.0,0.0,,dozens,5.0,2.0,GREEN: Healthy,True,GREEN: Healthy VIP,2.0,GREEN: Healthy
vicryl sutures 2/0 rb 36mm,2030-09-01,12.0,0.0,-12.0,1618,Long Expiry (>6 Months),Fast Mover,12.0,0.0,,dozens,12.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
vicryl sutures 2/0 rc 40mm,2030-07-01,9.0,0.0,-9.0,1556,Long Expiry (>6 Months),Normal Movement,9.0,0.0,,dozens,9.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
vicryl sutures 2/0 rc 36mm,2030-09-01,3.0,0.0,-3.0,1618,Long Expiry (>6 Months),Normal Movement,3.0,0.0,,dozens,3.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
vicryl sutures 3/0 rb,2100-01-01,0.0,0.0,0.0,26942,Long Expiry (>6 Months),Stockout (Critical),12.0,36.0,,dozens,0.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
vicryl sutures 3/0 rc,2100-01-01,0.0,0.0,0.0,26942,Long Expiry (>6 Months),Stockout (Critical),12.0,36.0,,dozens,0.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
vicryl sutures 2  rb,2100-01-01,0.0,0.0,0.0,26942,Long Expiry (>6 Months),Stockout (Critical),40.0,120.0,,dozens,0.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
vicryl sutures 2 rc,2100-01-01,0.0,0.0,0.0,26942,Long Expiry (>6 Months),Stockout (Critical),12.0,36.0,,dozens,0.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
vicryl sutures 1 rb,2100-01-01,0.0,0.0,0.0,26942,Long Expiry (>6 Months),Stockout (Critical),20.0,60.0,,dozens,0.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
vicryl sutures 1 rc 40mm,2026-06-01,32.0,124.0,92.0,65,Short Expiry (<3 Months),Normal Movement,0.0,0.0,,dozens,0.0,124000000.0,PURPLE: Dead Stock (Review Needed),True,PURPLE: VIP Overstock,999.0,BLACK: True Deadstock (Zero Movement)
vicryl sutures  4/0 rc 40mm,2026-06-01,8.0,8.0,0.0,65,Short Expiry (<3 Months),Active Stock (Static Count),0.0,0.0,,dozens,0.0,8000000.0,PURPLE: Dead Stock (Review Needed),True,PURPLE: VIP Overstock,999.0,BLACK: True Deadstock (Zero Movement)
vicryl sutures  4/0 rb,2100-01-01,0.0,0.0,0.0,26942,Long Expiry (>6 Months),Stockout (Critical),4.0,12.0,,dozens,0.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
silk sutures 1 rb,2100-01-01,0.0,0.0,0.0,26942,Long Expiry (>6 Months),Stockout (Critical),4.0,12.0,,dozens,0.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
silk sutures 2/0 rc (35 mm),2030-05-01,4.0,4.0,0.0,1495,Long Expiry (>6 Months),Active Stock (Static Count),0.0,0.0,,dozens,0.0,4000000.0,PURPLE: Dead Stock (Review Needed),True,PURPLE: VIP Overstock,999.0,BLACK: True Deadstock (Zero Movement)
