item_name,unit,expiry_date,opening_stock,closing_stock,variance,days_to_expiry,expiry_status,stock_analysis
latex gloves,pkts of 100,2030-10-01,1468.0,0.0,-1468.0,1636,Long Expiry (>6 Months),Fast Mover
sterile surgical gloves 6.5,pairs,2030-08-01,650.0,700.0,50.0,1575,Long Expiry (>6 Months),Normal Movement
sterile surgical gloves 7.0,pairs,2030-05-01,4750.0,250.0,-4500.0,1483,Long Expiry (>6 Months),Fast Mover
sterile surgical gloves 7.5,pairs,2030-08-01,5250.0,487.0,-4763.0,1575,Long Expiry (>6 Months),Fast Mover
sterile surgical gloves 8.0,pairs,2030-07-01,450.0,0.0,-450.0,1544,Long Expiry (>6 Months),Fast Mover
Gynaecological gloves,pairs,2026-09-01,2331.0,1034.0,-1297.0,145,Medium Expiry (3-6 Months),Fast Mover
Red bin liners 30 x 36,pcs,2100-01-01,704.0,701.0,-3.0,26930,Long Expiry (>6 Months),Normal Movement
yellow bin liners 30 x 36,pcs,2100-01-01,1120.0,0.0,-1120.0,26930,Long Expiry (>6 Months),Fast Mover
black bin liners 30 x 36,pcs,2100-01-01,668.0,0.0,-668.0,26930,Long Expiry (>6 Months),Fast Mover
syringes  20cc,pkts of 50,2030-09-01,10.0,0.0,-10.0,1606,Long Expiry (>6 Months),Normal Movement
syringes 10 cc ,pkts of 100,2100-01-01,0.0,0.0,0.0,26930,Long Expiry (>6 Months),Stockout (Critical)
syringes 5 cc,pkts of 100,2030-12-01,10.0,26.0,16.0,1697,Long Expiry (>6 Months),Normal Movement
syringes 2cc,pkts of 100,2030-12-01,9.0,0.0,-9.0,1697,Long Expiry (>6 Months),Normal Movement
cotton wool 400GMS,rolls,2030-05-01,470.0,7.0,-463.0,1483,Long Expiry (>6 Months),Fast Mover
jik 5ltrs 4-6%,Pcs,2100-01-01,0.0,0.0,0.0,26930,Long Expiry (>6 Months),Stockout (Critical)
cannula G18,pcs,2030-06-01,2808.0,1500.0,-1308.0,1514,Long Expiry (>6 Months),Fast Mover
Cannula G24,pcs,2030-08-01,2470.0,0.0,-2470.0,1575,Long Expiry (>6 Months),Fast Mover
Cannula 16,pcs,2030-04-01,1010.0,0.0,-1010.0,1453,Long Expiry (>6 Months),Fast Mover
cannula G 26,pcs,2030-04-01,407.0,800.0,393.0,1453,Long Expiry (>6 Months),Normal Movement
cannula G22,pcs,2030-09-01,411.0,0.0,-411.0,1606,Long Expiry (>6 Months),Fast Mover
cannula G20,pkts of 100,2030-06-01,2300.0,1173.0,-1127.0,1514,Long Expiry (>6 Months),Fast Mover
catheters size 16,pkt of 10's,2100-01-01,0.0,0.0,0.0,26930,Long Expiry (>6 Months),Stockout (Critical)
catheters size 18,pkt of 10's,2100-01-01,0.0,0.0,0.0,26930,Long Expiry (>6 Months),Stockout (Critical)
urine bags,pcs,2030-07-01,910.0,353.0,-557.0,1544,Long Expiry (>6 Months),Fast Mover
"crepe bandages 6""",dozens,2100-01-01,0.0,0.0,0.0,26930,Long Expiry (>6 Months),Stockout (Critical)
"pop   6""",pairs,2100-01-01,0.0,0.0,0.0,26930,Long Expiry (>6 Months),Stockout (Critical)
surgicell 10 x 20cm,dozens,2100-01-01,0.0,0.0,0.0,26930,Long Expiry (>6 Months),Stockout (Critical)
Nylon sutures 2 RB (40mm,dozens,2030-03-01,21.0,28.0,7.0,1422,Long Expiry (>6 Months),Normal Movement
Nylon sutures 2/0 RC,dozens,2030-07-01,21.0,90.0,69.0,1544,Long Expiry (>6 Months),Normal Movement
Nylon sutures 3/0 RB,dozens,2100-01-01,0.0,0.0,0.0,26930,Long Expiry (>6 Months),Stockout (Critical)
Nylon sutures 3/0 RC,dozens,2030-02-01,107.0,0.0,-107.0,1394,Long Expiry (>6 Months),Fast Mover
Nylon sutures 1 RC 40 mm,dozens,2030-03-01,16.0,86.0,70.0,1422,Long Expiry (>6 Months),Normal Movement
Vicryl sutures 2/0 RB 40mm,dozens,2030-05-01,15.0,10.0,-5.0,1483,Long Expiry (>6 Months),Normal Movement
Vicryl sutures 2/0 RB 36mm,dozens,2030-09-01,12.0,0.0,-12.0,1606,Long Expiry (>6 Months),Fast Mover
Vicryl sutures 2/0 RC 40mm,dozens,2030-07-01,9.0,0.0,-9.0,1544,Long Expiry (>6 Months),Normal Movement
Vicryl sutures 2/0 RC 36mm,dozens,2030-09-01,3.0,0.0,-3.0,1606,Long Expiry (>6 Months),Normal Movement
Vicryl sutures 3/0 RB,dozens,2100-01-01,0.0,0.0,0.0,26930,Long Expiry (>6 Months),Stockout (Critical)
Vicryl sutures 3/0 RC,dozens,2100-01-01,0.0,0.0,0.0,26930,Long Expiry (>6 Months),Stockout (Critical)
Vicryl sutures 2  RB,dozens,2100-01-01,0.0,0.0,0.0,26930,Long Expiry (>6 Months),Stockout (Critical)
Vicryl sutures 2 RC,dozens,2100-01-01,0.0,0.0,0.0,26930,Long Expiry (>6 Months),Stockout (Critical)
Vicryl sutures 1 RB,dozens,2100-01-01,0.0,0.0,0.0,26930,Long Expiry (>6 Months),Stockout (Critical)
Vicryl sutures 1 RC 40mm,dozens,2026-06-01,32.0,124.0,92.0,53,Short Expiry (<3 Months),Normal Movement
Vicryl sutures  4/0 RC 40mm,dozens,2026-06-01,8.0,8.0,0.0,53,Short Expiry (<3 Months),Active Stock (Static Count)
Vicryl sutures  4/0 RB,dozens,2100-01-01,0.0,0.0,0.0,26930,Long Expiry (>6 Months),Stockout (Critical)
Silk Sutures 1 RB,dozens,2100-01-01,0.0,0.0,0.0,26930,Long Expiry (>6 Months),Stockout (Critical)
Silk Sutures 2/0 RC (35 mm),dozens,2030-05-01,4.0,4.0,0.0,1483,Long Expiry (>6 Months),Active Stock (Static Count)
Silk Sutures 2/0 RB 40mm,dozens,2030-11-01,5.0,5.0,0.0,1667,Long Expiry (>6 Months),Active Stock (Static Count)
